run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s0,dmc:ball_in_cup.catch.occ,hacsmv4,0,0.8599969944159189,0.853867295106252,0.007127582246761197
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s1,dmc:ball_in_cup.catch.occ,hacsmv4,1,0.8585329308509827,0.865756228129069,-0.008413535484220245
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s2,dmc:ball_in_cup.catch.occ,hacsmv4,2,0.8485068369706472,0.8587247492472331,-0.012042227394496922
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,0.8971273270448049,0.916815602461497,-0.021945909820344556
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,0.9190118981202444,0.9251467491785685,-0.006675485998464657
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,0.896374636888504,0.9139452844460805,-0.019601901743413516
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,0.8552428767681122,0.8611230220794678,-0.006875409864360595
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,0.877625373840332,0.8828168430328369,-0.005915359044130598
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,0.8618643987973531,0.8708607147534688,-0.010438203467586307
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_single-s0,dmc:ball_in_cup.catch.occ,hacsmv4_single,0,0.8276409765084585,0.8347424309253693,-0.00858035623957318
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_single-s1,dmc:ball_in_cup.catch.occ,hacsmv4_single,1,0.8496447735627493,0.845393076022466,0.005004088382083366
