env,design,seed,condition,mask_start,mask_end,n_episodes,first_post_mse
dmc:reacher.hard.occ,none,0,original,10,16,150,1.1780754327774048
dmc:reacher.hard.occ,none,0,early,6,12,150,1.1738828420639038
dmc:reacher.hard.occ,none,0,late,14,20,150,1.161678671836853
dmc:reacher.hard.occ,none,0,longer,10,19,150,1.1431787014007568
dmc:reacher.hard.occ,none,1,original,10,16,150,1.175940752029419
dmc:reacher.hard.occ,none,1,early,6,12,150,1.1710412502288818
dmc:reacher.hard.occ,none,1,late,14,20,150,1.158884882926941
dmc:reacher.hard.occ,none,1,longer,10,19,150,1.1410945653915405
dmc:reacher.hard.occ,none,2,original,10,16,150,1.176313042640686
dmc:reacher.hard.occ,none,2,early,6,12,150,1.1725751161575317
dmc:reacher.hard.occ,none,2,late,14,20,150,1.1608408689498901
dmc:reacher.hard.occ,none,2,longer,10,19,150,1.1423678398132324
dmc:reacher.hard.occ,multi,0,original,10,16,150,0.8530080318450928
dmc:reacher.hard.occ,multi,0,early,6,12,150,0.8407381176948547
dmc:reacher.hard.occ,multi,0,late,14,20,150,0.8828916549682617
dmc:reacher.hard.occ,multi,0,longer,10,19,150,0.8987744450569153
dmc:reacher.hard.occ,multi,1,original,10,16,150,0.8364179730415344
dmc:reacher.hard.occ,multi,1,early,6,12,150,0.8044461011886597
dmc:reacher.hard.occ,multi,1,late,14,20,150,0.8594005703926086
dmc:reacher.hard.occ,multi,1,longer,10,19,150,0.8958319425582886
dmc:reacher.hard.occ,multi,2,original,10,16,150,0.8542547821998596
dmc:reacher.hard.occ,multi,2,early,6,12,150,0.831622302532196
dmc:reacher.hard.occ,multi,2,late,14,20,150,0.8831360340118408
dmc:reacher.hard.occ,multi,2,longer,10,19,150,0.8886237740516663
dmc:reacher.hard.occ,ssm,0,original,10,16,150,0.839677631855011
dmc:reacher.hard.occ,ssm,0,early,6,12,150,0.8799605369567871
dmc:reacher.hard.occ,ssm,0,late,14,20,150,0.8182262182235718
dmc:reacher.hard.occ,ssm,0,longer,10,19,150,1.0916835069656372
dmc:reacher.hard.occ,ssm,1,original,10,16,150,0.8064089417457581
dmc:reacher.hard.occ,ssm,1,early,6,12,150,0.8599554896354675
dmc:reacher.hard.occ,ssm,1,late,14,20,150,0.8158819675445557
dmc:reacher.hard.occ,ssm,1,longer,10,19,150,0.9858511686325073
dmc:reacher.hard.occ,ssm,2,original,10,16,150,0.810852587223053
dmc:reacher.hard.occ,ssm,2,early,6,12,150,0.8149173259735107
dmc:reacher.hard.occ,ssm,2,late,14,20,150,0.8258981704711914
