candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties
hacssmv5,none,dmc:reacher.hard.occ,5,0.8201306700706482,1.1752852201461792,0.30219403899664316,5,0
hacssmv5,none,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.1573077917099,0.08622152305598314,5,0
hacssmv5,none,dmc:finger.spin.occ,5,1.274392580986023,1.814428734779358,0.2976306943634412,5,0
hacssmv5,none,dmc:cheetah.run.occ,5,0.6060668349266052,0.6355471730232238,0.046436458657081466,5,0
hacssmv5,none,ogbench:cube-single.occ,5,1.5874472379684448,2.228041410446167,0.28747981156446567,5,0
hacssmv5,none,__overall__,25,,,0.20399250532752294,25,0
hacssmv5,ssm,dmc:reacher.hard.occ,5,0.8201306700706482,0.8172305583953857,-0.0038172064096337823,2,0
hacssmv5,ssm,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,0.9644538998603821,-0.09724230572143833,0,0
hacssmv5,ssm,dmc:finger.spin.occ,5,1.274392580986023,1.2112032890319824,-0.052502045279434126,1,0
hacssmv5,ssm,dmc:cheetah.run.occ,5,0.6060668349266052,0.6528962612152099,0.07158723171486257,5,0
hacssmv5,ssm,ogbench:cube-single.occ,5,1.5874472379684448,1.4677053689956665,-0.08159314157298517,0,0
hacssmv5,ssm,__overall__,25,,,-0.03271349345372577,8,0
hacssmv5,hacsmv4,dmc:reacher.hard.occ,5,0.8201306700706482,0.866829264163971,0.05387618022441976,5,0
hacssmv5,hacsmv4,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0253999471664428,-0.03165128579690425,0,0
hacssmv5,hacsmv4,dmc:finger.spin.occ,5,1.274392580986023,1.2754055261611938,0.0008266256484558927,4,0
hacssmv5,hacsmv4,dmc:cheetah.run.occ,5,0.6060668349266052,0.6098006963729858,0.006070949288262036,2,0
hacssmv5,hacsmv4,ogbench:cube-single.occ,5,1.5874472379684448,1.5617331981658935,-0.016476449986969885,0,0
hacssmv5,hacsmv4,__overall__,25,,,0.0025292038754527115,11,0
hacssmv5,hacsmv4_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8658823490142822,0.052853224493885326,5,0
hacssmv5,hacsmv4_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0402291059494018,-0.016893223752134364,2,0
hacssmv5,hacsmv4_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.2860682964324952,0.00911410337106468,4,0
hacssmv5,hacsmv4_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5850329637527466,-0.03634086366530696,1,0
hacssmv5,hacsmv4_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.5314651727676392,-0.036535284035331364,0,0
hacssmv5,hacsmv4_noaux,__overall__,25,,,-0.005560408717564537,12,0
hacssmv5,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8308597564697265,0.01282364894190801,4,0
hacssmv5,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,0.9775278806686402,-0.08317777530896282,0,0
hacssmv5,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.1288960218429565,-0.12892999951796505,0,0
hacssmv5,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5639344334602356,-0.07478077420828508,0,0
hacssmv5,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.368989682197571,-0.15964397605857686,0,0
hacssmv5,hacsmv4_two_noaux,__overall__,25,,,-0.08674177523037636,4,0
hacssmv5,hacssmv5_ssmcontrol,dmc:reacher.hard.occ,5,0.8201306700706482,0.8538765430450439,0.0395193245109645,5,0
hacssmv5,hacssmv5_ssmcontrol,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.1270870923995973,0.06159786819172118,5,0
hacssmv5,hacssmv5_ssmcontrol,dmc:finger.spin.occ,5,1.274392580986023,1.418560528755188,0.10169124166038146,5,0
hacssmv5,hacssmv5_ssmcontrol,dmc:cheetah.run.occ,5,0.6060668349266052,0.7730082988739013,0.2155181540305961,5,0
hacssmv5,hacssmv5_ssmcontrol,ogbench:cube-single.occ,5,1.5874472379684448,1.7976523637771606,0.11694808844475048,5,0
hacssmv5,hacssmv5_ssmcontrol,__overall__,25,,,0.10705493536768275,25,0
hacssmv5,hacssmv5_fixedbeta_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8187193989753723,-0.001687657231134467,2,0
hacssmv5,hacssmv5_fixedbeta_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0548344850540161,-0.0025410668958152534,3,0
hacssmv5,hacssmv5_fixedbeta_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.2632907152175903,-0.008698041397585567,2,0
hacssmv5,hacssmv5_fixedbeta_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5884903550148011,-0.030242989840975495,1,0
hacssmv5,hacssmv5_fixedbeta_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.5554485082626344,-0.020618736822902058,0,0
hacssmv5,hacssmv5_fixedbeta_noaux,__overall__,25,,,-0.012757698437682569,8,0
hacssmv5,hacssmv5_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8153834342956543,-0.005791146272006417,1,0
hacssmv5,hacssmv5_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0568740844726563,-0.0006504778354360171,3,0
