run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s0,dmc:ball_in_cup.catch.occ,hacsmv4,0,851078,0.8634400081634521,0.62803715467453,0.8177416920661926,1.184591293334961,1.0093116760253906,0.811214029788971,0.7289284467697144,0.7762437462806702,1.749711275100708,0.740932822227478,2.2903213500976562,1.2641915082931519,16.771806716918945,1.2936933946609497,1.093762084643046,1.269807144800822,1.5175108528137207,1.0552648480733235,1.132259422938029,1.2183881282806397,1.321226110458374,1.5175108528137207,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s1,dmc:ball_in_cup.catch.occ,hacsmv4,1,851078,0.8780179723103841,0.6221389770507812,0.7967275977134705,1.1507655382156372,1.039810299873352,0.7999820709228516,0.7291109561920166,0.7695058584213257,1.6474295854568481,0.7344271540641785,2.2903213500976562,1.2641915082931519,16.771806716918945,1.2974292055765788,1.0943202431996664,1.2712781302134195,1.5266892766952516,1.0559320783615112,1.1327083396911621,1.2173634672164917,1.3251928615570068,1.5266892766952516,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s2,dmc:ball_in_cup.catch.occ,hacsmv4,2,851078,0.8754122161865234,0.6188213229179382,0.7525917887687683,1.1317367553710938,1.0363006591796875,0.8038905262947083,0.7275550365447998,0.76162189245224,1.575545072555542,0.7148967385292053,2.2903213500976562,1.2641915082931519,16.771806716918945,1.2930131753285725,1.0946714973449707,1.2681370671590169,1.5162308756510416,1.0564405711491902,1.1329024235407512,1.2163305791219075,1.3199435043334962,1.5162308756510416,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s3,dmc:ball_in_cup.catch.occ,hacsmv4,3,851078,0.857458028793335,0.6164987683296204,0.809726893901825,1.1302976608276367,0.9960653781890869,0.8049646615982056,0.7393907308578491,0.7708152532577515,1.6601663827896118,0.7570663094520569,2.2903213500976562,1.2641915082931519,16.771806716918945,1.2922549279530844,1.095439068476359,1.2673422114054362,1.513983351389567,1.057485138575236,1.1333929475148519,1.21569748878479,1.3189869340260822,1.513983351389567,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s4,dmc:ball_in_cup.catch.occ,hacsmv4,4,851078,0.8769316752751668,0.6180880665779114,0.8535659909248352,1.1942566633224487,1.0455117225646973,0.7936174869537354,0.7179019451141357,0.7736397981643677,1.5799074172973633,0.74797123670578,2.2903213500976562,1.2641915082931519,16.771806716918945,1.2834756294886271,1.0965404923756916,1.2651876576741536,1.488698534965515,1.0582279793421427,1.1348529370625813,1.2183837509155273,1.3119915135701496,1.488698534965515,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,851078,0.8771766177813212,0.6272358298301697,0.8022732734680176,1.1513572931289673,1.0388480424880981,0.8203201293945312,0.7220370173454285,0.7695693969726562,1.8764729499816895,0.7361976504325867,2.2903213500976562,1.2641915082931519,16.771806716918945,1.6681688563028971,1.208289623260498,1.5666194089253744,2.2295971457163493,1.1620615990956624,1.2545175457000732,1.453651032447815,1.6795877520243327,2.2295971457163493,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,851078,0.8802520275115967,0.62632817029953,0.7866570353507996,1.1522194147109985,1.0454376935958862,0.7860996127128601,0.7265066504478455,0.767694890499115,1.828983187675476,0.7107442021369934,2.2903213500976562,1.2641915082931519,16.771806716918945,1.6609765831629435,1.207662738164266,1.5578508218129477,2.2174163246154786,1.1622724755605063,1.253053069114685,1.4447614924112955,1.6709402020772297,2.2174163246154786,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,851078,0.887885631720225,0.6208041310310364,0.767930805683136,1.1260513067245483,1.0641940832138062,0.7838064432144165,0.7222184538841248,0.7602835297584534,1.7427842617034912,0.7083845138549805,2.2903213500976562,1.2641915082931519,16.771806716918945,1.6820354413986207,1.223161260286967,1.5746863238016764,2.2482585016886394,1.1794443209966023,1.2668781995773315,1.455409860610962,1.6939626852671306,2.2482585016886394,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s3,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,3,851078,0.8672476482391357,0.6121522188186646,0.7801125645637512,1.105772614479065,1.0222495794296265,0.7816218137741089,0.7316223978996277,0.7599760293960571,1.7506561279296875,0.7318432927131653,2.2903213500976562,1.2641915082931519,16.771806716918945,1.6753359746932983,1.2286195103327433,1.5686042499542237,2.2287843004862467,1.185016123453776,1.2722228972117107,1.4520066563288372,1.685201775232951,2.2287843004862467,2.0,32.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s4,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,4,851078,0.8682862973213196,0.6212896704673767,0.8269118666648865,1.1901308298110962,1.0304161310195923,0.7911380529403687,0.7138369083404541,0.7687147259712219,1.767163872718811,0.7357633113861084,2.2903213500976562,1.2641915082931519,16.771806716918945,1.6483035866419475,1.212724307378133,1.5522183752059937,2.1799680932362873,1.164728619257609,1.2607199954986572,1.4501571305592855,1.6542796198527019,2.1799680932362873,2.0,32.0,,,,
