design,n_runs,absolute_window_change_median,absolute_window_change_p95,absolute_window_change_max
none,25,0.00135899065993225,0.005339894374100678,0.005916792338868742
ssm,25,0.008820942095650444,0.02203125572655463,0.02754212360044176
hacsmv4,25,0.004026722522010408,0.011316489012441576,0.012498759244647292
hacsmv4_noaux,25,0.004015444065871463,0.010130152521679047,0.010763713460617547
hacsmv4_two_noaux,25,0.004533950317724827,0.013293452461538152,0.015552908397958141
hacssmv5_ssmcontrol,25,0.003745625537313715,0.02046401165087688,0.036133522927634894
hacssmv5_fixedbeta_noaux,25,0.004112017781661977,0.01081643447269175,0.011371307090773063
hacssmv5_noaux,25,0.004544685670082652,0.00795017506976534,0.01191710466437859
hacssmv5_noaction,25,0.004044889315330995,0.021190888078217514,0.029430969949292386
hacssmv5_static,25,0.0037682349571843935,0.01656235101198594,0.024162655573658202
hacssmv5_single,25,0.0025216474328409663,0.012096981371704113,0.014440150270096765
hacssmv5,25,0.004349596808123927,0.01653236292623147,0.01930836023427563
__all__,300,0.004021083293940936,0.0169799068232579,0.036133522927634894
