env,rank,design,n_seeds,clean_mse_first_post_mean,clean_mse_first_post_population_std
dmc:reacher.hard.occ,1,hacssmv5_noaux,5,0.8153834342956543,0.011655871721419974
dmc:reacher.hard.occ,2,ssm,5,0.8172305583953857,0.012478523956483792
dmc:reacher.hard.occ,3,hacssmv6_noaction,5,0.8272616863250732,0.014931960018296293
dmc:reacher.hard.occ,4,hacssmv6_sourcegrad,5,0.8278556704521179,0.0165913586493917
dmc:reacher.hard.occ,5,hacssmv6_uniform,5,0.8302366256713867,0.015536730391338108
dmc:reacher.hard.occ,6,hacssmv6_fastonly,5,0.8306251406669617,0.01516792932298817
dmc:reacher.hard.occ,7,hacssmv6,5,0.8306938886642456,0.015362829824150565
dmc:reacher.hard.occ,8,hacsmv4_two_noaux,5,0.8308597564697265,0.015931722734390683
dmc:reacher.hard.occ,8,hacssmv6_aux_noaction,5,0.8308597564697265,0.015931722734390683
dmc:reacher.hard.occ,8,hacssmv6_noaux,5,0.8308597564697265,0.015931722734390683
dmc:reacher.hard.occ,11,hacssmv6_mediumonly,5,0.8309258937835693,0.015557655871902403
dmc:reacher.hard.occ,12,hacssmv6_static,5,0.8503227710723877,0.018054014225898047
dmc:reacher.hard.occ,13,hacssmv6_single,5,0.8864162683486938,0.010074968582340298
dmc:ball_in_cup.catch.occ,1,hacssmv6_static,5,0.8935149788856507,0.01593817958621443
dmc:ball_in_cup.catch.occ,2,hacssmv6,5,0.9632748603820801,0.022956630818237678
dmc:ball_in_cup.catch.occ,3,ssm,5,0.9644538998603821,0.030640834888195762
dmc:ball_in_cup.catch.occ,4,hacssmv6_uniform,5,0.9677710652351379,0.025657698522019004
dmc:ball_in_cup.catch.occ,5,hacssmv6_mediumonly,5,0.9694863080978393,0.025521980687655633
dmc:ball_in_cup.catch.occ,6,hacssmv6_fastonly,5,0.976146686077118,0.03394985852874285
dmc:ball_in_cup.catch.occ,7,hacsmv4_two_noaux,5,0.9775278806686402,0.032292836188755336
dmc:ball_in_cup.catch.occ,7,hacssmv6_aux_noaction,5,0.9775278806686402,0.032292836188755336
dmc:ball_in_cup.catch.occ,7,hacssmv6_noaux,5,0.9775278806686402,0.032292836188755336
dmc:ball_in_cup.catch.occ,10,hacssmv6_sourcegrad,5,0.9780985713005066,0.012563784647988355
dmc:ball_in_cup.catch.occ,11,hacssmv6_single,5,0.9992557883262634,0.025857399838213266
dmc:ball_in_cup.catch.occ,12,hacssmv5_noaux,5,1.0568740844726563,0.015007835096206833
dmc:ball_in_cup.catch.occ,13,hacssmv6_noaction,5,1.137719988822937,0.024279863642010353
dmc:finger.spin.occ,1,hacssmv6_sourcegrad,5,1.1270079135894775,0.0232574913544974
dmc:finger.spin.occ,2,hacssmv6_uniform,5,1.1282344818115235,0.018163595681673205
dmc:finger.spin.occ,3,hacssmv6,5,1.1288799047470093,0.017703915513483465
dmc:finger.spin.occ,4,hacsmv4_two_noaux,5,1.1288960218429565,0.014832580189626573
dmc:finger.spin.occ,4,hacssmv6_aux_noaction,5,1.1288960218429565,0.014832580189626573
dmc:finger.spin.occ,4,hacssmv6_noaux,5,1.1288960218429565,0.014832580189626573
dmc:finger.spin.occ,7,hacssmv6_fastonly,5,1.1291224002838134,0.014464880396685973
dmc:finger.spin.occ,8,hacssmv6_mediumonly,5,1.1302337646484375,0.01535516062020208
dmc:finger.spin.occ,9,hacssmv6_static,5,1.1956828117370606,0.018491718894412333
dmc:finger.spin.occ,10,ssm,5,1.2112032890319824,0.018874932763270694
dmc:finger.spin.occ,11,hacssmv5_noaux,5,1.2665584802627563,0.01888411557091113
dmc:finger.spin.occ,12,hacssmv6_noaction,5,1.3181432723999023,0.01678685633057948
dmc:finger.spin.occ,13,hacssmv6_single,5,1.3337583065032959,0.0182452855012605
dmc:cheetah.run.occ,1,hacssmv6_static,5,0.5297807931900025,0.015034993691346785
dmc:cheetah.run.occ,2,hacssmv6_mediumonly,5,0.5599441409111023,0.008103185414069338
dmc:cheetah.run.occ,3,hacssmv6_fastonly,5,0.5611637234687805,0.004336013288841462
dmc:cheetah.run.occ,4,hacssmv6_uniform,5,0.5612279891967773,0.007373258179157431
dmc:cheetah.run.occ,5,hacssmv6,5,0.5612707734107971,0.005048066338281034
dmc:cheetah.run.occ,6,hacsmv4_two_noaux,5,0.5639344334602356,0.006330870516139319
dmc:cheetah.run.occ,6,hacssmv6_aux_noaction,5,0.5639344334602356,0.006330870516139319
dmc:cheetah.run.occ,6,hacssmv6_noaux,5,0.5639344334602356,0.006330870516139319
dmc:cheetah.run.occ,9,hacssmv6_sourcegrad,5,0.5654655456542969,0.006436217932257403
dmc:cheetah.run.occ,10,hacssmv5_noaux,5,0.5908357620239257,0.016287350261973144
dmc:cheetah.run.occ,11,hacssmv6_single,5,0.5970130801200867,0.011910121920558198
dmc:cheetah.run.occ,12,ssm,5,0.6528962612152099,0.0051667980010529635
dmc:cheetah.run.occ,13,hacssmv6_noaction,5,0.8210269570350647,0.020891952808055773
ogbench:cube-single.occ,1,hacssmv6_static,5,1.3645100355148316,0.01467417424937223
ogbench:cube-single.occ,2,hacssmv6_mediumonly,5,1.3673864603042603,0.02443244845406066
ogbench:cube-single.occ,3,hacssmv6,5,1.3681094646453857,0.021748488581941557
ogbench:cube-single.occ,4,hacssmv6_uniform,5,1.3686758756637574,0.02815469341868888
ogbench:cube-single.occ,5,hacsmv4_two_noaux,5,1.368989682197571,0.022828757383281675
ogbench:cube-single.occ,5,hacssmv6_aux_noaction,5,1.368989682197571,0.022828757383281675
ogbench:cube-single.occ,5,hacssmv6_noaux,5,1.368989682197571,0.022828757383281675
ogbench:cube-single.occ,8,hacssmv6_sourcegrad,5,1.3699516773223877,0.02611772032723621
ogbench:cube-single.occ,9,hacssmv6_fastonly,5,1.3713432788848876,0.023774256369480395
ogbench:cube-single.occ,10,ssm,5,1.4677053689956665,0.019983041370664607
ogbench:cube-single.occ,11,hacssmv5_noaux,5,1.5606716871261597,0.0218557539582515
ogbench:cube-single.occ,12,hacssmv6_single,5,1.5837581396102904,0.02403510121202341
ogbench:cube-single.occ,13,hacssmv6_noaction,5,1.6621894836425781,0.017357629273007238
