stage,seeds,candidate,reference,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
pilot,"0,1,2",hacssmv6,ssm,15,0.9758324265480042,1.0276612242062886,0.05130963809904903,12,0,4
pilot,"0,1,2",hacssmv6,hacsmv4_two_noaux,15,0.9758324265480042,0.9788503805796306,0.0031684042910800126,8,0,4
pilot,"0,1,2",hacssmv6,hacssmv6_noaux,15,0.9758324265480042,0.9788503805796306,0.0031684042910800126,8,0,4
pilot,"0,1,2",hacssmv6,hacssmv6_static,15,0.9758324265480042,0.96958300669988,-0.015962708515719744,7,0,2
completion,"3,4",hacssmv6,ssm,10,0.9623658061027527,1.0152528524398803,0.05271492648575403,7,0,3
completion,"3,4",hacssmv6,hacsmv4_two_noaux,10,0.9623658061027527,0.966828316450119,0.005108430987445288,7,0,4
completion,"3,4",hacssmv6,hacssmv6_noaux,10,0.9623658061027527,0.966828316450119,0.005108430987445288,7,0,4
completion,"3,4",hacssmv6,hacssmv6_static,10,0.9623658061027527,0.9625311851501465,-0.007290097859334518,5,0,3
all,"0,1,2,3,4",hacssmv6,ssm,25,0.9704457783699035,1.0226978754997254,0.05187175345373103,19,0,4
all,"0,1,2,3,4",hacssmv6,hacsmv4_two_noaux,25,0.9704457783699035,0.974041554927826,0.003944414969626123,15,0,5
all,"0,1,2,3,4",hacssmv6,hacssmv6_noaux,25,0.9704457783699035,0.974041554927826,0.003944414969626123,15,0,5
all,"0,1,2,3,4",hacssmv6,hacssmv6_static,25,0.9704457783699035,0.9667622780799866,-0.012493664253165653,12,0,2
