run,env,design,seed,predictive_metrics_compared,predictive_metrics_exact,max_abs_predictive_metric_difference,model_state_exact,max_abs_model_state_difference,rollout_exact,max_abs_rollout_difference,history_values_compared,optimization_history_exact,max_abs_optimization_history_difference
lewm-dmc:reacher.hard.occ-ssm-s0,dmc:reacher.hard.occ,ssm,0,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
lewm-dmc:reacher.hard.occ-ssm-s1,dmc:reacher.hard.occ,ssm,1,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
lewm-dmc:reacher.hard.occ-ssm-s2,dmc:reacher.hard.occ,ssm,2,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
lewm-dmc:reacher.hard.occ-ssm-s3,dmc:reacher.hard.occ,ssm,3,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
lewm-dmc:reacher.hard.occ-ssm-s4,dmc:reacher.hard.occ,ssm,4,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
lewm-dmc:reacher.hard.occ-hacsmv4_two_noaux-s0,dmc:reacher.hard.occ,hacsmv4_two_noaux,0,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacsmv4_two_noaux-s1,dmc:reacher.hard.occ,hacsmv4_two_noaux,1,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacsmv4_two_noaux-s2,dmc:reacher.hard.occ,hacsmv4_two_noaux,2,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacsmv4_two_noaux-s3,dmc:reacher.hard.occ,hacsmv4_two_noaux,3,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacsmv4_two_noaux-s4,dmc:reacher.hard.occ,hacsmv4_two_noaux,4,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6-s0,dmc:reacher.hard.occ,hacssmv6,0,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6-s1,dmc:reacher.hard.occ,hacssmv6,1,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6-s2,dmc:reacher.hard.occ,hacssmv6,2,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6-s3,dmc:reacher.hard.occ,hacssmv6,3,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6-s4,dmc:reacher.hard.occ,hacssmv6,4,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6_static-s0,dmc:reacher.hard.occ,hacssmv6_static,0,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6_static-s1,dmc:reacher.hard.occ,hacssmv6_static,1,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6_static-s2,dmc:reacher.hard.occ,hacssmv6_static,2,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6_static-s3,dmc:reacher.hard.occ,hacssmv6_static,3,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:reacher.hard.occ-hacssmv6_static-s4,dmc:reacher.hard.occ,hacssmv6_static,4,13,True,0.0,True,0.0,True,0.0,3600,True,0.0
lewm-dmc:ball_in_cup.catch.occ-ssm-s0,dmc:ball_in_cup.catch.occ,ssm,0,13,True,0.0,True,0.0,True,0.0,2000,True,0.0
