env,seed,rank,design,clean_mse_first_post
dmc:reacher.hard.occ,0,1,hacssmv7_noaction,0.8303330540657043
dmc:reacher.hard.occ,0,2,hacssmv7_noshrink,0.8314060568809509
dmc:reacher.hard.occ,0,3,hacssmv7_uniform,0.8339480757713318
dmc:reacher.hard.occ,0,4,hacsmv4_two_noaux,0.8340522050857544
dmc:reacher.hard.occ,0,5,hacssmv7_noaux,0.8341449499130249
dmc:reacher.hard.occ,0,6,hacssmv6,0.8341526389122009
dmc:reacher.hard.occ,0,7,hacssmv7_norecovery,0.8345792889595032
dmc:reacher.hard.occ,0,8,hacssmv7,0.8351089358329773
dmc:reacher.hard.occ,0,9,hacssmv7_actiononly,0.8371684551239014
dmc:reacher.hard.occ,0,10,hacssmv7_sharedaction,0.8373685479164124
dmc:reacher.hard.occ,0,11,ssm,0.839677631855011
dmc:reacher.hard.occ,0,12,hacssmv6_static,0.8598589301109314
dmc:reacher.hard.occ,0,13,hacssmv7_single,0.8905124068260193
dmc:reacher.hard.occ,1,1,ssm,0.8064088821411133
dmc:reacher.hard.occ,1,2,hacssmv7_uniform,0.8145654797554016
dmc:reacher.hard.occ,1,3,hacssmv7,0.8155736327171326
dmc:reacher.hard.occ,1,4,hacssmv7_actiononly,0.8166866302490234
dmc:reacher.hard.occ,1,5,hacssmv7_norecovery,0.8171205520629883
dmc:reacher.hard.occ,1,6,hacssmv7_noaux,0.8184601068496704
dmc:reacher.hard.occ,1,7,hacssmv7_noaction,0.8218936920166016
dmc:reacher.hard.occ,1,8,hacssmv7_sharedaction,0.823121964931488
dmc:reacher.hard.occ,1,9,hacssmv6,0.8234111666679382
dmc:reacher.hard.occ,1,10,hacsmv4_two_noaux,0.82414311170578
dmc:reacher.hard.occ,1,11,hacssmv7_noshrink,0.8248614072799683
dmc:reacher.hard.occ,1,12,hacssmv6_static,0.8351506590843201
dmc:reacher.hard.occ,1,13,hacssmv7_single,0.8741496801376343
dmc:reacher.hard.occ,2,1,ssm,0.810852587223053
dmc:reacher.hard.occ,2,2,hacssmv7,0.847274661064148
dmc:reacher.hard.occ,2,3,hacssmv7_actiononly,0.8488648533821106
dmc:reacher.hard.occ,2,4,hacssmv7_sharedaction,0.8490787744522095
dmc:reacher.hard.occ,2,5,hacssmv7_norecovery,0.8491625785827637
