env,rank,design,n_seeds,clean_mse_first_post_mean,clean_mse_first_post_population_std
dmc:reacher.hard.occ,1,ssm,5,0.8172305583953857,0.012478523956483792
dmc:reacher.hard.occ,2,hacssmv7,5,0.8258150696754456,0.013618832504097109
dmc:reacher.hard.occ,3,hacssmv7_noaux,5,0.8263182163238525,0.013806646275747958
dmc:reacher.hard.occ,4,hacssmv7_uniform,5,0.826456093788147,0.014241254070470893
dmc:reacher.hard.occ,5,hacssmv7_norecovery,5,0.8270128250122071,0.013250077818223604
dmc:reacher.hard.occ,6,hacssmv7_actiononly,5,0.8274810791015625,0.01359717962521144
dmc:reacher.hard.occ,7,hacssmv7_noaction,5,0.8277790188789368,0.01504399622500856
dmc:reacher.hard.occ,8,hacssmv7_noshrink,5,0.8294791579246521,0.015204993511586336
dmc:reacher.hard.occ,9,hacssmv7_sharedaction,5,0.8297623991966248,0.012532804042217249
dmc:reacher.hard.occ,10,hacssmv6,5,0.8306938886642456,0.015362829824150565
dmc:reacher.hard.occ,11,hacsmv4_two_noaux,5,0.8308597564697265,0.015931722734390683
dmc:reacher.hard.occ,12,hacssmv6_static,5,0.8503227710723877,0.018054014225898047
dmc:reacher.hard.occ,13,hacssmv7_single,5,0.8839340448379517,0.0111545851456759
dmc:ball_in_cup.catch.occ,1,hacssmv6_static,5,0.8935149788856507,0.01593817958621443
dmc:ball_in_cup.catch.occ,2,hacssmv7_sharedaction,5,0.9159428358078003,0.01249472607483061
dmc:ball_in_cup.catch.occ,3,hacssmv7_norecovery,5,0.9293771982192993,0.01670332767525033
dmc:ball_in_cup.catch.occ,4,hacssmv7,5,0.9343978047370911,0.016688209631058083
dmc:ball_in_cup.catch.occ,5,hacssmv7_noaux,5,0.937244427204132,0.02112103352012243
dmc:ball_in_cup.catch.occ,6,hacssmv7_uniform,5,0.9393751382827759,0.025300646527262844
dmc:ball_in_cup.catch.occ,7,hacssmv7_actiononly,5,0.9442235827445984,0.017888170448505176
dmc:ball_in_cup.catch.occ,8,hacssmv6,5,0.9632748603820801,0.022956630818237678
