stage,seeds,candidate,reference,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
pilot,"0,1,2",hacssmv7,ssm,15,0.9656358321507772,1.0276612242062886,0.061136268741680884,0.05137571027203985,13,0,4
pilot,"0,1,2",hacssmv7,hacsmv4_two_noaux,15,0.9656358321507772,0.9788503805796306,0.013183458556721523,0.011096933149729428,11,0,4
pilot,"0,1,2",hacssmv7,hacssmv6,15,0.9656358321507772,0.9758324265480042,0.010105539497060273,0.009518372191285027,10,0,4
pilot,"0,1,2",hacssmv7,hacssmv6_static,15,0.9656358321507772,0.96958300669988,-0.004979910654968596,0.011065321354774458,8,0,3
pilot,"0,1,2",hacssmv7,hacssmv7_noaux,15,0.9656358321507772,0.9684869726498921,0.003097972086341631,0.003526713285572526,10,0,4
pilot,"0,1,2",hacssmv7,hacssmv7_sharedaction,15,0.9656358321507772,0.9641801834106445,-0.0027269627982092334,0.0011486117869096593,9,0,3
pilot,"0,1,2",hacssmv7,hacssmv7_noshrink,15,0.9656358321507772,0.9766316294670105,0.011176418331747318,0.007664868817212108,11,0,4
pilot,"0,1,2",hacssmv7,hacssmv7_actiononly,15,0.9656358321507772,0.9707955479621887,0.006440996404478693,0.0024601014029121083,12,0,4
pilot,"0,1,2",hacssmv7,hacssmv7_uniform,15,0.9656358321507772,0.9715263764063518,0.006855676314076962,0.005793649808001495,11,0,5
pilot,"0,1,2",hacssmv7,hacssmv7_norecovery,15,0.9656358321507772,0.963925834496816,-0.0006530748031493071,-0.0006346273870927817,7,0,2
pilot,"0,1,2",hacssmv7,hacssmv7_noaction,15,0.9656358321507772,1.1354879895846048,0.14813281991350533,0.1490247779829383,14,0,5
pilot,"0,1,2",hacssmv7,hacssmv7_single,15,0.9656358321507772,1.0758121450742086,0.08872435505111326,0.06700917331603776,15,0,5
completion,"3,4",hacssmv7,ssm,10,0.9572181165218353,1.0152528524398803,0.06014863253501985,0.04808883752077813,9,0,4
completion,"3,4",hacssmv7,hacsmv4_two_noaux,10,0.9572181165218353,0.966828316450119,0.012676478614571005,0.005543891901267388,6,0,4
completion,"3,4",hacssmv7,hacssmv6,10,0.9572181165218353,0.9623658061027527,0.0076819315218104,0.003105281631886547,5,0,4
completion,"3,4",hacssmv7,hacssmv6_static,10,0.9572181165218353,0.9625311851501465,0.0009768875165664388,0.024994630667564473,6,0,3
completion,"3,4",hacssmv7,hacssmv7_noaux,10,0.9572181165218353,0.9585846364498138,0.0029206254171678376,0.003005705316891569,6,0,2
completion,"3,4",hacssmv7,hacssmv7_sharedaction,10,0.9572181165218353,0.949824994802475,-0.005198859739318309,-0.0017382930158240822,4,0,2
completion,"3,4",hacssmv7,hacssmv7_noshrink,10,0.9572181165218353,0.9654579520225525,0.010734889464440409,0.007623793298218299,6,0,3
completion,"3,4",hacssmv7,hacssmv7_actiononly,10,0.9572181165218353,0.9541074454784393,-0.004912261962300122,0.001766250253363138,6,0,2
completion,"3,4",hacssmv7,hacssmv7_uniform,10,0.9572181165218353,0.9537644028663635,-0.002191966094497097,0.0009971478949340853,7,0,2
completion,"3,4",hacssmv7,hacssmv7_norecovery,10,0.9572181165218353,0.9550222337245942,-0.0005246495273310796,-0.0007492874727625622,5,0,2
completion,"3,4",hacssmv7,hacssmv7_noaction,10,0.9572181165218353,1.1309015274047851,0.1510670149743725,0.16718271105163318,9,0,5
completion,"3,4",hacssmv7,hacssmv7_single,10,0.9572181165218353,1.0740969002246856,0.10161163659508904,0.11585716847751343,10,0,5
all,"0,1,2,3,4",hacssmv7,ssm,25,0.9622687458992004,1.0226978754997254,0.06074121425901647,0.05137571027203985,22,0,4
all,"0,1,2,3,4",hacssmv7,hacsmv4_two_noaux,25,0.9622687458992004,0.974041554927826,0.012980666579861315,0.010398047216472731,17,0,4
all,"0,1,2,3,4",hacssmv7,hacssmv6,25,0.9622687458992004,0.9704457783699035,0.009136096306960323,0.006322049049228044,15,0,4
all,"0,1,2,3,4",hacssmv7,hacssmv6_static,25,0.9622687458992004,0.9667622780799866,-0.0025971913863545816,0.022093056431478374,14,0,3
all,"0,1,2,3,4",hacssmv7,hacssmv7_noaux,25,0.9622687458992004,0.9645260381698608,0.0030270334186721136,0.003526713285572526,16,0,5
all,"0,1,2,3,4",hacssmv7,hacssmv7_sharedaction,25,0.9622687458992004,0.9584381079673767,-0.003715721574652864,0.0009823853921215229,13,0,2
all,"0,1,2,3,4",hacssmv7,hacssmv7_noshrink,25,0.9622687458992004,0.9721621584892273,0.010999806784824553,0.007664868817212108,17,0,4
all,"0,1,2,3,4",hacssmv7,hacssmv7_actiononly,25,0.9622687458992004,0.964120306968689,0.0018996930577671667,0.0021540031949047484,18,0,3
all,"0,1,2,3,4",hacssmv7,hacssmv7_uniform,25,0.9622687458992004,0.9644215869903564,0.003236619350647339,0.003310796024913251,18,0,4
all,"0,1,2,3,4",hacssmv7,hacssmv7_norecovery,25,0.9622687458992004,0.9603643941879273,-0.000601704692822016,-0.0006346273870927817,12,0,2
all,"0,1,2,3,4",hacssmv7,hacssmv7_noaction,25,0.9622687458992004,1.133653404712677,0.1493064979378522,0.16669564535939316,23,0,5
all,"0,1,2,3,4",hacssmv7,hacssmv7_single,25,0.9622687458992004,1.0751260471343995,0.09387926766870357,0.07390493117724178,25,0,5
