design,n_runs,absolute_window_change_median,absolute_window_change_p95,absolute_window_change_max
ssm,25,0.008820942095650444,0.02203125572655463,0.02754212360044176
hacssmv6,25,0.002933231814134368,0.007070424555123402,0.013091571323366743
hacssmv6_static,25,0.003530841947413199,0.015381402396958963,0.01966291630067197
hacssmv7_noaux,25,0.004285520678914935,0.017576825185784125,0.02014841812095111
hacssmv7_sharedaction,25,0.005090800237791664,0.012253999833493822,0.014279851607856227
hacssmv7_norecovery,25,0.004083500968420522,0.00949779495493664,0.0168663922135763
hacssmv8_dynamic,25,0.003912970476651705,0.012499132606959434,0.015015396076410484
hacssmv8_static,25,0.0034403216463941588,0.019279051586138112,0.02264900370878362
hacssmv8_levelaction,25,0.004285520678914935,0.017576825185784125,0.02014841812095111
hacssmv8_redundant,25,0.0035180238452352124,0.012519390850189273,0.01540682816260074
hacssmv8_noaction,25,0.0026499847671503447,0.018329877501561353,0.019913106023145482
hacssmv8_single,25,0.0037243977367250286,0.008128185894963969,0.008175539195179871
hacssmv8,25,0.003393326357080498,0.007049195363893066,0.014915157130404021
__all__,325,0.003972539092966782,0.01665603371298386,0.02754212360044176
