env,rank,design,n_seeds,clean_mse_first_post_mean,clean_mse_first_post_population_std
dmc:reacher.hard.occ,1,ssm,5,0.8172305583953857,0.012478523956483792
dmc:reacher.hard.occ,2,hacssmv7_noaux,5,0.8263182163238525,0.013806646275747958
dmc:reacher.hard.occ,2,hacssmv8_levelaction,5,0.8263182163238525,0.013806646275747958
dmc:reacher.hard.occ,4,hacssmv7_norecovery,5,0.8270128250122071,0.013250077818223604
dmc:reacher.hard.occ,5,hacssmv8_noaction,5,0.8271459579467774,0.015347387071539945
dmc:reacher.hard.occ,6,hacssmv8_redundant,5,0.8275004744529724,0.011395800504576859
dmc:reacher.hard.occ,7,hacssmv8,5,0.8291808605194092,0.013225969145276534
dmc:reacher.hard.occ,8,hacssmv7_sharedaction,5,0.8297623991966248,0.012532804042217249
dmc:reacher.hard.occ,9,hacssmv6,5,0.8306938886642456,0.015362829824150565
dmc:reacher.hard.occ,10,hacssmv8_dynamic,5,0.8312952160835266,0.01573224443418025
dmc:reacher.hard.occ,11,hacssmv8_static,5,0.8500867128372193,0.021304920641505916
dmc:reacher.hard.occ,12,hacssmv6_static,5,0.8503227710723877,0.018054014225898047
dmc:reacher.hard.occ,13,hacssmv8_single,5,0.8844242691993713,0.011588985513631318
dmc:ball_in_cup.catch.occ,1,hacssmv6_static,5,0.8935149788856507,0.01593817958621443
dmc:ball_in_cup.catch.occ,2,hacssmv7_sharedaction,5,0.9159428358078003,0.01249472607483061
dmc:ball_in_cup.catch.occ,3,hacssmv8_static,5,0.9160898208618165,0.04104205039482985
dmc:ball_in_cup.catch.occ,4,hacssmv7_norecovery,5,0.9293771982192993,0.01670332767525033
dmc:ball_in_cup.catch.occ,5,hacssmv8,5,0.9317137479782105,0.019078495795411272
dmc:ball_in_cup.catch.occ,6,hacssmv8_redundant,5,0.9339908242225647,0.015022853447240966
dmc:ball_in_cup.catch.occ,7,hacssmv7_noaux,5,0.937244427204132,0.02112103352012243
dmc:ball_in_cup.catch.occ,7,hacssmv8_levelaction,5,0.937244427204132,0.02112103352012243
