run,env,seed,trainable_parameters,rho_fast,rho_medium,static_gate_fast,static_gate_medium,route_fast,route_medium,action_head_l2,action_head_delta_l2,action_head_velocity_l2
lewm-dmc:reacher.hard.occ-hacssmv8-s0,dmc:reacher.hard.occ,0,851078,0.6395431643268368,0.5432631588685436,0.8362693765886988,0.8976122545520218,0.6341647165980888,0.365835283401911,3.2736477971036444,3.134816620163199,0.9432362680845765
lewm-dmc:reacher.hard.occ-hacssmv8-s1,dmc:reacher.hard.occ,1,851078,0.6378230484066126,0.5401334746999698,0.8366073301686967,0.8977541116550414,0.6332480125648565,0.3667519874351434,3.419242450882136,3.286387944808514,0.9438608023070727
lewm-dmc:reacher.hard.occ-hacssmv8-s2,dmc:reacher.hard.occ,2,851078,0.6400142335205048,0.5451334500744635,0.8358024926690434,0.8970358145687457,0.6303934227166709,0.369606577283329,3.2555520343055107,3.103149709206597,0.9844190826684317
lewm-dmc:reacher.hard.occ-hacssmv8-s3,dmc:reacher.hard.occ,3,851078,0.6433050174003179,0.5437356733674631,0.8355690019623572,0.8967366944909886,0.6338195080348396,0.36618049196516056,3.3541006936981024,3.215472730105861,0.9543199596632413
lewm-dmc:reacher.hard.occ-hacssmv8-s4,dmc:reacher.hard.occ,4,851078,0.6455554488876986,0.5453873912799513,0.8356392703642145,0.8989539841759222,0.6429966625509945,0.35700333744900553,3.2750463848016853,3.1209697926476245,0.9927116278072036
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s0,dmc:ball_in_cup.catch.occ,0,851078,0.6069918943087375,0.5487242939679345,0.8442254215716299,0.86740959124016,0.4861179997556464,0.5138820002443535,3.7961352751030213,2.9942290860168828,2.33350277637118
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s1,dmc:ball_in_cup.catch.occ,1,851078,0.6060755405964311,0.5467535728194293,0.8443331240721407,0.8680901928212943,0.48764433008460367,0.5123556699153963,3.7410974890197615,2.947284526229541,2.304197114788117
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s2,dmc:ball_in_cup.catch.occ,2,851078,0.6023189199925215,0.5435760416085648,0.8457858956150696,0.8694477856042464,0.4897098041534601,0.5102901958465399,3.6873671138810686,2.870056084870741,2.315049524789492
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s3,dmc:ball_in_cup.catch.occ,3,851078,0.6084706639660936,0.5473703434001119,0.844547564325887,0.8690529651895434,0.49017701044909356,0.5098229895509063,3.9263652274558734,3.063281404508041,2.4561455445819713
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s4,dmc:ball_in_cup.catch.occ,4,851078,0.6207963297902795,0.5538536609441364,0.8400449789404404,0.8688151462680755,0.49867644225663765,0.5013235577433623,3.680165410164758,2.847316853248503,2.3316097836859813
lewm-dmc:finger.spin.occ-hacssmv8-s0,dmc:finger.spin.occ,0,851078,0.6099160486097955,0.5279021527444083,0.8425600668056022,0.8885423869829816,0.5451625105940145,0.4548374894059854,3.7817330133742124,3.309653639224122,1.8296713838323344
lewm-dmc:finger.spin.occ-hacssmv8-s1,dmc:finger.spin.occ,1,851078,0.6088967260768473,0.5280350488490406,0.8438466961752098,0.8880542739896131,0.5444387442472975,0.45556125575270245,3.6993980162684394,3.2016423391937052,1.8533839361160793
lewm-dmc:finger.spin.occ-hacssmv8-s2,dmc:finger.spin.occ,2,851078,0.6126142616228416,0.5319470069454016,0.8418694051335908,0.8884079180791633,0.5493375424082912,0.4506624575917087,3.810904460580554,3.334835853365951,1.8444139011560712
lewm-dmc:finger.spin.occ-hacssmv8-s3,dmc:finger.spin.occ,3,851078,0.6113578981166296,0.5271573535173926,0.8422109558978605,0.8892048564411945,0.5520043725668496,0.4479956274331505,3.8580393130363664,3.4276902923237538,1.770707937759253
lewm-dmc:finger.spin.occ-hacssmv8-s4,dmc:finger.spin.occ,4,851078,0.609767307589863,0.5281565499048162,0.8434927480751547,0.8877332539836464,0.5430926297271229,0.456907370272877,3.8274331966482413,3.2895801229071626,1.9565038946496036
lewm-dmc:cheetah.run.occ-hacssmv8-s0,dmc:cheetah.run.occ,0,851078,0.6160320145832117,0.5682165465304043,0.8402738567596421,0.8661761697903331,0.5175454017039062,0.4824545982960939,4.577459747595373,3.4681229205827226,2.9875175561968974
lewm-dmc:cheetah.run.occ-hacssmv8-s1,dmc:cheetah.run.occ,1,851078,0.6209133518600496,0.5716404525575774,0.8374963586529374,0.8662012339229626,0.5426304273383067,0.4573695726616934,4.5181582051151095,3.495475967342883,2.862761137115239
lewm-dmc:cheetah.run.occ-hacssmv8-s2,dmc:cheetah.run.occ,2,851078,0.6147512721062024,0.5627936828161553,0.8402333258110283,0.8692912576362709,0.5285248167178049,0.4714751832821952,4.57472437882448,3.4470404580609864,3.00765942598256
lewm-dmc:cheetah.run.occ-hacssmv8-s3,dmc:cheetah.run.occ,3,851078,0.6197496708224368,0.5690269306513849,0.8384884184196979,0.8668056983663632,0.5337659761663951,0.46623402383360496,4.486449642347471,3.4093761978383137,2.916227757726292
lewm-dmc:cheetah.run.occ-hacssmv8-s4,dmc:cheetah.run.occ,4,851078,0.6250423300544604,0.5772562713255779,0.8374402484896897,0.8640779844653939,0.5389581129521747,0.4610418870478252,4.526796979735965,3.4657788395805285,2.9120899592667997
lewm-ogbench:cube-single.occ-hacssmv8-s0,ogbench:cube-single.occ,0,851078,0.6209942369584273,0.5209780530859592,0.8366521212107848,0.8910481017698341,0.5773622310739043,0.4226377689260957,4.050379177620709,3.091174855991776,2.617290486779724
