metric,candidate,reference,n_pairs,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_pre,hacssmv8,ssm,25,0.02283390534841149,0.03755422319189855,16,0,3
clean_mse_blackout_transition,hacssmv8,ssm,25,0.1066183581743823,0.1052686984188319,22,0,5
clean_mse_deep_blackout,hacssmv8,ssm,25,-0.012059228620567885,-0.01115631773726265,11,0,2
clean_mse_first_post,hacssmv8,ssm,25,0.062035640739721905,0.06145127354443675,22,0,4
clean_mse_recovery,hacssmv8,ssm,25,0.019105039907095816,0.027748401192644424,19,0,4
clean_mse_late_post,hacssmv8,ssm,25,0.03197776655494257,0.04488325619863083,19,0,4
clean_mse_all,hacssmv8,ssm,25,0.034770720251147316,0.030964237968500764,24,0,5
clean_mse_pre,hacssmv8,hacssmv6,25,-0.011925828437731767,-0.012930248276711357,5,0,1
clean_mse_blackout_transition,hacssmv8,hacssmv6,25,0.011928592465622638,0.005262349200157999,15,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv6,25,0.018643455182274365,0.01112564480040741,18,0,4
clean_mse_first_post,hacssmv8,hacssmv6,25,0.010523589301526406,0.006666005364903434,18,0,4
clean_mse_recovery,hacssmv8,hacssmv6,25,-0.002228735251729264,-0.0008426023428028637,12,0,3
clean_mse_late_post,hacssmv8,hacssmv6,25,-0.011674044350436383,-0.008293143430880542,4,0,1
clean_mse_all,hacssmv8,hacssmv6,25,0.0009610186387111514,-0.005302950988618902,11,0,2
clean_mse_pre,hacssmv8,hacssmv6_static,25,0.023624649745316795,0.030915247156911047,20,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv6_static,25,-0.040608518877382566,-0.011244951487077829,12,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv6_static,25,-0.027567963637628572,-0.00223200189772432,12,0,2
clean_mse_first_post,hacssmv8,hacssmv6_static,25,-0.001042729222306462,0.0008577876393959019,13,0,3
clean_mse_recovery,hacssmv8,hacssmv6_static,25,0.010534437922393829,0.016135892998450113,17,0,4
clean_mse_late_post,hacssmv8,hacssmv6_static,25,0.025611492739519032,0.0334144201159271,20,0,4
clean_mse_all,hacssmv8,hacssmv6_static,25,0.002029000952595602,0.02045491216529811,15,0,3
clean_mse_pre,hacssmv8,hacssmv7_noaux,25,-5.513131337937927e-05,0.0006814885244773449,15,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv7_noaux,25,0.001984093052158605,0.0009398497048760142,14,0,4
clean_mse_deep_blackout,hacssmv8,hacssmv7_noaux,25,1.680217964704734e-05,-0.001172508674010922,11,0,3
clean_mse_first_post,hacssmv8,hacssmv7_noaux,25,0.0044359787503261035,-0.00043996029342566304,12,0,3
clean_mse_recovery,hacssmv8,hacssmv7_noaux,25,-0.0019864231547210526,-0.0008054421234676777,10,0,1
clean_mse_late_post,hacssmv8,hacssmv7_noaux,25,-6.162237653484757e-05,0.0005139763555704948,15,0,4
clean_mse_all,hacssmv8,hacssmv7_noaux,25,0.0006168408123593736,0.00030594347152967087,13,0,3
clean_mse_pre,hacssmv8,hacssmv7_sharedaction,25,0.000614352559643744,8.02202664929226e-05,14,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv7_sharedaction,25,-0.0032282784957671285,-0.0030566338749977145,7,0,1
clean_mse_deep_blackout,hacssmv8,hacssmv7_sharedaction,25,-0.006166152692676495,-0.0055289426883139235,11,0,2
clean_mse_first_post,hacssmv8,hacssmv7_sharedaction,25,-0.0022835395297511173,-0.0003463662472142466,11,0,3
clean_mse_recovery,hacssmv8,hacssmv7_sharedaction,25,-0.0011402021908648121,0.00027865081779864903,14,0,3
clean_mse_late_post,hacssmv8,hacssmv7_sharedaction,25,0.000949624260335851,0.00035116623973827706,16,0,4
clean_mse_all,hacssmv8,hacssmv7_sharedaction,25,-0.000867596754346856,-0.0006627238194497604,11,0,2
clean_mse_pre,hacssmv8,hacssmv7_norecovery,25,0.0012330017473009822,0.001195119085567205,18,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv7_norecovery,25,0.0009924120743891737,0.0009135873269052635,13,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv7_norecovery,25,-0.0020514649891354543,0.002035550219593715,14,0,2
clean_mse_first_post,hacssmv8,hacssmv7_norecovery,25,0.0007521797265319156,-0.0012313846583968957,9,0,2
clean_mse_recovery,hacssmv8,hacssmv7_norecovery,25,-0.0011489279101225436,-0.00020530707301238526,10,0,3
clean_mse_late_post,hacssmv8,hacssmv7_norecovery,25,0.0013015544669550774,0.0009982760191161394,19,0,5
clean_mse_all,hacssmv8,hacssmv7_norecovery,25,0.0008714882012974154,0.000343817745235343,15,0,2
clean_mse_pre,hacssmv8,hacssmv8_dynamic,25,-0.011669969268025668,-0.01320201605541167,5,0,1
clean_mse_blackout_transition,hacssmv8,hacssmv8_dynamic,25,0.009970605186961301,-0.0005420117211972311,12,0,3
clean_mse_deep_blackout,hacssmv8,hacssmv8_dynamic,25,0.021608774805208966,0.011040162993883763,18,0,4
clean_mse_first_post,hacssmv8,hacssmv8_dynamic,25,0.014878953455579104,0.0071691184145909435,19,0,4
clean_mse_recovery,hacssmv8,hacssmv8_dynamic,25,-0.0007743943280267988,0.0018739204935668832,14,0,3
clean_mse_late_post,hacssmv8,hacssmv8_dynamic,25,-0.011575567152491592,-0.009573533571021543,5,0,1
clean_mse_all,hacssmv8,hacssmv8_dynamic,25,0.0012546454498381327,-0.00372824437093453,10,0,2
clean_mse_pre,hacssmv8,hacssmv8_static,25,0.024616717181211986,0.031013642720271586,20,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv8_static,25,-0.03729022600582351,-0.00880050918012415,9,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv8_static,25,-0.025438225259520535,-0.008499561358096895,10,0,2
clean_mse_first_post,hacssmv8,hacssmv8_static,25,0.005378937874374636,0.007554459407819447,14,0,2
clean_mse_recovery,hacssmv8,hacssmv8_static,25,0.011352462561042258,0.011600743786206902,17,0,4
clean_mse_late_post,hacssmv8,hacssmv8_static,25,0.02544021042000775,0.033277977638596336,20,0,4
