rank,design,n_pairs,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
1,hacssmv7_sharedaction,25,0.06425820970303893,0.055456890881151286,22,0,4
2,hacssmv8,25,0.062035640739721905,0.06145127354443675,22,0,4
3,hacssmv7_norecovery,25,0.061432293166384495,0.058004257334595556,22,0,4
4,hacssmv6_static,25,0.06066700308564576,0.05158386765793026,19,0,4
5,hacssmv8_redundant,25,0.05957110453282912,0.06284814617441556,21,0,4
6,hacssmv7_noaux,25,0.05785369291909036,0.0630033553234367,20,0,4
6,hacssmv8_levelaction,25,0.05785369291909036,0.0630033553234367,20,0,4
8,hacssmv8_static,25,0.055156756694193454,0.058551551383387815,17,0,4
9,hacssmv6,25,0.051871753453731045,0.06015038014498865,19,0,4
10,hacssmv8_dynamic,25,0.047308704320110716,0.05833487410308711,19,0,3
11,ssm,25,0.0,0.0,0,25,0
12,hacssmv8_single,25,-0.03641657355227333,-0.06610270257594496,7,0,1
13,hacssmv8_noaction,25,-0.10963628201303316,-0.10241627210634811,2,0,0
