run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s0,dmc:ball_in_cup.catch.occ,hacssmv6,0,0.8129110600153605,0.8235533431371053,-0.013091571323366743
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s1,dmc:ball_in_cup.catch.occ,hacssmv6,1,0.8311866686344147,0.8298747931321462,0.0015783163418920663
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s2,dmc:ball_in_cup.catch.occ,hacssmv6,2,0.8402570470174153,0.8388489662011465,0.0016757738852259574
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s0,dmc:ball_in_cup.catch.occ,hacssmv6_static,0,0.7876891867319743,0.791058020512263,-0.004276856705708524
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s1,dmc:ball_in_cup.catch.occ,hacssmv6_static,1,0.7926150918801625,0.7989085312684377,-0.007940095328422945
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s2,dmc:ball_in_cup.catch.occ,hacssmv6_static,2,0.7918072805404663,0.7963529079755147,-0.005740825509896372
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s0,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,0,0.801113050699234,0.8100752149422963,-0.011187140485652877
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s1,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,1,0.8053172725041707,0.8202309091091156,-0.018518957824622578
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s2,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,2,0.809642294963201,0.825955306450526,-0.02014841812095111
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s0,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,0,0.8006584602197011,0.803933101495107,-0.004089935269662078
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s1,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,1,0.8129786508878072,0.8149792218208313,-0.002460791474461689
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s2,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,2,0.8176412043571473,0.8257896916866303,-0.00996584722743958
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_sharedaction-s0,dmc:ball_in_cup.catch.occ,hacssmv7_sharedaction,0,0.7968158883253733,0.8081943009694418,-0.014279851607856227
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_sharedaction-s1,dmc:ball_in_cup.catch.occ,hacssmv7_sharedaction,1,0.8147501532236735,0.816623824040095,-0.0022996875901257503
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_sharedaction-s2,dmc:ball_in_cup.catch.occ,hacssmv7_sharedaction,2,0.8094279153347015,0.8154988958040873,-0.007500334933315758
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s0,dmc:ball_in_cup.catch.occ,hacssmv8,0,0.7925316402117412,0.8043523741563161,-0.014915157130404021
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s1,dmc:ball_in_cup.catch.occ,hacssmv8,1,0.8171975429852804,0.813945945819219,0.003978961016185961
lewm-dmc:ball_in_cup.catch.occ-hacssmv8-s2,dmc:ball_in_cup.catch.occ,hacssmv8,2,0.8166719464461009,0.8210965450604757,-0.005417840827800307
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_dynamic-s0,dmc:ball_in_cup.catch.occ,hacssmv8_dynamic,0,0.8158211845556895,0.8261222593784332,-0.012626633161473758
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_dynamic-s1,dmc:ball_in_cup.catch.occ,hacssmv8_dynamic,1,0.8244126683870951,0.8258169129689534,-0.0017033272725000546
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_dynamic-s2,dmc:ball_in_cup.catch.occ,hacssmv8_dynamic,2,0.8375023125807444,0.8462691604296366,-0.010467849123756343
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_levelaction-s0,dmc:ball_in_cup.catch.occ,hacssmv8_levelaction,0,0.801113050699234,0.8100752149422963,-0.011187140485652877
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_levelaction-s1,dmc:ball_in_cup.catch.occ,hacssmv8_levelaction,1,0.8053172725041707,0.8202309091091156,-0.018518957824622578
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_levelaction-s2,dmc:ball_in_cup.catch.occ,hacssmv8_levelaction,2,0.809642294963201,0.825955306450526,-0.02014841812095111
