contrast,metric,mean_paired_relative_reduction,paired_wins,pairs,task_mean_wins,ci95_low,ci95_high
vicreg_hacssmv8_vs_vicreg_none:heldout_prior_state_nmse,heldout_prior_state_nmse,0.12436536146856896,24,25,5,0.03652827811691962,0.22434908268504017
vicreg_hacssmv8_vs_vicreg_none:clean_prior_state_nmse,clean_prior_state_nmse,0.13163111600416225,25,25,5,0.07289738098283766,0.18995132770722933
vicreg_hacssmv8_vs_vicreg_none:val_predictive_loss,val_predictive_loss,0.26601875490415755,22,25,5,0.13411961544791282,0.44798498703631034
vicreg_hacssmv8_vs_vicreg_none:deep_prior_state_nmse,deep_prior_state_nmse,0.13002776680974587,24,25,5,0.041006118527394025,0.23080006795858854
vicreg_hacssmv8_vs_vicreg_gru:heldout_prior_state_nmse,heldout_prior_state_nmse,0.06458358711506292,17,25,3,-0.02691097553735776,0.1597889669576241
vicreg_hacssmv8_vs_vicreg_gru:clean_prior_state_nmse,clean_prior_state_nmse,0.15511526219456484,25,25,5,0.07634326217158917,0.23669956061332087
vicreg_hacssmv8_vs_vicreg_gru:val_predictive_loss,val_predictive_loss,0.04140857752288753,21,25,4,-0.1407101083347422,0.1584924930710154
vicreg_hacssmv8_vs_vicreg_gru:deep_prior_state_nmse,deep_prior_state_nmse,0.06959790683481551,18,25,3,-0.021664369268060365,0.16558526278053112
vicreg_hacssmv8_vs_vicreg_ssm:heldout_prior_state_nmse,heldout_prior_state_nmse,-0.002769608347426329,13,25,3,-0.12064818510696047,0.11213156823523435
vicreg_hacssmv8_vs_vicreg_ssm:clean_prior_state_nmse,clean_prior_state_nmse,0.11898967586318399,25,25,5,0.0593552107025328,0.17916554741450028
vicreg_hacssmv8_vs_vicreg_ssm:val_predictive_loss,val_predictive_loss,0.2094259642557087,22,25,5,0.09034927508712563,0.38700169224218145
vicreg_hacssmv8_vs_vicreg_ssm:deep_prior_state_nmse,deep_prior_state_nmse,-0.000997524031156416,13,25,3,-0.11755313145523515,0.11238908020199322
vicreg_hacssmv8_vs_vicreg_hacssmv8_static:heldout_prior_state_nmse,heldout_prior_state_nmse,0.032258301398963594,14,25,4,-0.0011795405176297253,0.08823133539983992
vicreg_hacssmv8_vs_vicreg_hacssmv8_static:clean_prior_state_nmse,clean_prior_state_nmse,-0.004380322794800403,16,25,3,-0.021273992113470405,0.007815029835970565
vicreg_hacssmv8_vs_vicreg_hacssmv8_static:val_predictive_loss,val_predictive_loss,0.11663275948314049,22,25,4,-0.012615188836684395,0.31967600458557005
vicreg_hacssmv8_vs_vicreg_hacssmv8_static:deep_prior_state_nmse,deep_prior_state_nmse,0.03203601558151543,14,25,4,-0.001212197684424081,0.08738637356707864
vicreg_hacssmv8_vs_vicreg_hacssmv8_dynamic:heldout_prior_state_nmse,heldout_prior_state_nmse,-0.010932336320992988,8,25,1,-0.042698571869792055,0.018881916099354093
